signal,width,category,events,bit_toggles,design
clk,1,clock,823,823,baseline
a,8,inputs,397,1600,baseline
b,8,inputs,397,1594,baseline
c,16,inputs,400,3157,baseline
rst,1,inputs,1,1,baseline
valid,1,inputs,2,2,baseline
a_r,8,internal,398,1600,baseline
b_r,8,internal,398,1594,baseline
c_d,16,internal,401,3157,baseline
c_r,16,internal,401,3157,baseline
prod,16,internal,400,3006,baseline
v,3,internal,7,6,baseline
out_valid,1,outputs,3,2,baseline
y,17,outputs,401,3309,baseline
clk,1,clock,823,823,optimized
a,8,inputs,397,1600,optimized
b,8,inputs,397,1594,optimized
c,16,inputs,400,3157,optimized
rst,1,inputs,1,1,optimized
valid,1,inputs,2,2,optimized
a_r,8,internal,398,1600,optimized
b_r,8,internal,398,1594,optimized
c_d,16,internal,401,3157,optimized
c_r,16,internal,401,3157,optimized
prod,16,internal,400,3006,optimized
v,3,internal,7,6,optimized
out_valid,1,outputs,3,2,optimized
y,17,outputs,401,3309,optimized
